phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000398053,0.000805763,0.881
insert,2000,0.000397713,0.000804072,0.881
insert,3000,0.000399569,0.000805125,0.881
insert,4000,0.000399471,0.000808924,0.881
insert,5000,0.000394823,0.000804336,0.878
insert,6000,0.000387111,0.000804239,0.869
insert,7000,0.000381846,0.000803957,0.857
insert,8000,0.000378672,0.000803812,0.852
insert,9000,0.000377034,0.000803545,0.846
insert,10000,0.000376533,0.000802547,0.846
delete_patch,2000,0.00138177,0.000958081,0.846
delete_patch,4000,0.00134153,0.000934651,0.846
delete_patch,6000,0.00132415,0.000929032,0.824
delete_patch,8000,0.00126491,0.000931687,0.808
delete_patch,10000,0.00124758,0.000908355,0.797
