phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00357564,0.00316056,0.936
insert,1000,0.0032357,0.00341727,0.936
insert,1500,0.00319126,0.00292461,0.935
insert,2000,0.00304388,0.00366054,0.935
insert,2500,0.00320791,0.00346097,0.935
insert,3000,0.0032162,0.00281125,0.935
insert,3500,0.00316164,0.00292711,0.935
insert,4000,0.00309179,0.00306114,0.935
insert,4500,0.00313094,0.00314942,0.935
insert,5000,0.00311714,0.0031372,0.934
