phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00292045,0.00353312,0.878
insert,2000,0.00313406,0.00297969,0.878
insert,3000,0.00303877,0.00330307,0.878
insert,4000,0.00295117,0.00432747,0.879
insert,5000,0.00305434,0.00361363,0.877
insert,6000,0.00301497,0.00307132,0.876
insert,7000,0.00296001,0.00288332,0.876
insert,8000,0.00314342,0.00508367,0.873
insert,9000,0.00319278,0.00444365,0.872
insert,10000,0.00332134,0.00527648,0.872
delete_no_rebuild,2000,5.48255e-08,0.00406308,0.869
delete_no_rebuild,4000,6.2141e-08,0.0040703,0.868
