phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.00052657,0.00100968,0.881
insert,2000,0.000527717,0.00100643,0.881
insert,3000,0.000530433,0.00100797,0.881
insert,4000,0.000530475,0.00100802,0.881
insert,5000,0.000524432,0.00100651,0.878
insert,6000,0.000513305,0.00100722,0.869
insert,7000,0.000505817,0.00102129,0.857
insert,8000,0.000501505,0.00101538,0.852
insert,9000,0.000499761,0.001015,0.846
insert,10000,0.000499201,0.00101057,0.846
delete_patch,2000,0.00158901,0.00118634,0.846
delete_patch,4000,0.00155042,0.00115729,0.846
delete_patch,6000,0.00152313,0.00114896,0.824
delete_patch,8000,0.00146382,0.00112641,0.808
delete_patch,10000,0.00144358,0.00116136,0.797
