phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000532583,0.00082856,0.881
insert,2000,0.000531019,0.000827503,0.881
insert,3000,0.000533144,0.000828598,0.881
insert,4000,0.000532805,0.000829097,0.881
insert,5000,0.0005264,0.00082968,0.878
insert,6000,0.000515294,0.000831767,0.869
insert,7000,0.000508179,0.000827171,0.857
insert,8000,0.000503649,0.000829517,0.852
insert,9000,0.000501303,0.000827502,0.846
insert,10000,0.000500488,0.000828433,0.846
delete_patch,2000,0.00143571,0.000998492,0.846
delete_patch,4000,0.00140417,0.000975007,0.846
delete_patch,6000,0.00138433,0.000977417,0.824
delete_patch,8000,0.00132606,0.000970649,0.808
delete_patch,10000,0.00130692,0.000952592,0.797
