phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,100,0.0150744,0.00150463,0.942
insert,200,0.0161593,0.00273897,0.941
insert,300,0.0153968,0.00140634,0.941
insert,400,0.0143115,0.00167149,0.941
insert,500,0.0148373,0.00209295,0.94
insert,600,0.0145368,0.00168766,0.94
insert,700,0.0142823,0.00137191,0.94
insert,800,0.0140006,0.00201513,0.94
insert,900,0.0141736,0.00183786,0.94
insert,1000,0.0141831,0.00200299,0.94
delete_no_rebuild,200,2.30065e-07,0.00196858,0.94
delete_no_rebuild,400,1.4251e-07,0.00199488,0.94
delete_no_rebuild,600,1.2361e-07,0.00194526,0.94
delete_no_rebuild,800,1.06004e-07,0.00194267,0.94
delete_no_rebuild,1000,1.05144e-07,0.00191695,0.94
