variant,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s,update_delete_avg_s,update_final_recall
mst_wolverine_d2,707.216675,0.001254,0.934000,703.126465,0.001616,0.005025,0.925
mst_shg_s2plus,332.393097,0.000428,0.865000,332.058990,0.000907,0.003031,0.862
