phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.0056949,0.00377936,0.892
insert,1000,0.00545292,0.0029177,0.89
insert,1500,0.00530556,0.00327234,0.89
insert,2000,0.00543778,0.00327612,0.891
insert,2500,0.0056474,0.00305411,0.89
insert,3000,0.0055936,0.00328556,0.89
insert,3500,0.00572869,0.00352877,0.89
insert,4000,0.00567021,0.00337742,0.891
insert,4500,0.00569164,0.00436767,0.891
insert,5000,0.00571262,0.00297765,0.89
