phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000913507,0.00266112,0.874
insert,2000,0.000913665,0.00248232,0.872
insert,3000,0.000919073,0.00263003,0.872
insert,4000,0.000919243,0.00250865,0.872
insert,5000,0.000902332,0.00246565,0.871
insert,6000,0.000872091,0.00246262,0.869
insert,7000,0.000852148,0.00248917,0.866
insert,8000,0.000838627,0.0024581,0.866
insert,9000,0.000831247,0.00250303,0.866
insert,10000,0.000828236,0.00247034,0.866
delete_mark,2000,0.00836263,0.00257037,0.866
delete_mark,4000,0.00804072,0.00253569,0.866
delete_mark,6000,0.00787123,0.00251936,0.83
delete_mark,8000,0.00743214,0.00254602,0.801
delete_mark,10000,0.00731293,0.00255958,0.789
