phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000611804,0.00103037,0.881
insert,2000,0.000610937,0.00103392,0.881
insert,3000,0.000615558,0.00104193,0.881
insert,4000,0.000615602,0.00102586,0.881
insert,5000,0.000608215,0.00102591,0.878
insert,6000,0.000594577,0.00102894,0.869
insert,7000,0.000585406,0.00101956,0.857
insert,8000,0.000580516,0.0010284,0.852
insert,9000,0.000579095,0.00102411,0.846
insert,10000,0.000578194,0.00102535,0.846
delete_patch,2000,0.00164646,0.00119501,0.846
delete_patch,4000,0.00159314,0.00116077,0.846
delete_patch,6000,0.00156819,0.00117,0.824
delete_patch,8000,0.00150075,0.00114305,0.808
delete_patch,10000,0.00147597,0.00113965,0.797
