phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000680372,0.00176821,0.861
insert,2000,0.000686337,0.00161182,0.86
insert,3000,0.00069097,0.00159712,0.86
insert,4000,0.000691596,0.00159508,0.86
insert,5000,0.000683078,0.00164075,0.859
insert,6000,0.000664776,0.00159366,0.857
insert,7000,0.000650912,0.00159475,0.854
insert,8000,0.00064275,0.00164361,0.854
insert,9000,0.000638131,0.00160998,0.854
insert,10000,0.000636514,0.00159656,0.854
delete_mark,2000,0.00730149,0.00162686,0.856
delete_mark,4000,0.00693359,0.0016622,0.855
delete_mark,6000,0.00680752,0.00162435,0.82
delete_mark,8000,0.00646013,0.00161175,0.792
delete_mark,10000,0.00632611,0.00167135,0.78
