phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00253265,0.00138598,0.955
insert,1000,0.00248675,0.00133957,0.955
insert,1500,0.00246838,0.00134289,0.955
insert,2000,0.00246628,0.00133128,0.955
insert,2500,0.00246029,0.00135442,0.954
insert,3000,0.00245935,0.00133704,0.954
insert,3500,0.00245449,0.0013333,0.954
insert,4000,0.00245139,0.00133314,0.953
insert,4500,0.00245267,0.00138058,0.953
insert,5000,0.0024532,0.00133559,0.952
