phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00555794,0.00323771,0.874
insert,1000,0.00529119,0.00320899,0.874
insert,1500,0.00531265,0.00286946,0.875
insert,2000,0.005529,0.00291353,0.875
insert,2500,0.00554436,0.00287952,0.874
insert,3000,0.00544293,0.00290089,0.874
insert,3500,0.00536634,0.00298119,0.874
insert,4000,0.0053088,0.00297482,0.874
insert,4500,0.00529388,0.00319926,0.875
insert,5000,0.00531177,0.00292462,0.874
