phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00554502,0.00410764,0.89
insert,1000,0.00602816,0.00440171,0.889
insert,1500,0.00573217,0.00307765,0.888
insert,2000,0.00597051,0.00373586,0.888
insert,2500,0.0058378,0.00316689,0.888
insert,3000,0.00576876,0.00338221,0.887
insert,3500,0.00591792,0.00555146,0.887
insert,4000,0.00584526,0.00343659,0.887
insert,4500,0.0060369,0.00611781,0.888
insert,5000,0.00598446,0.00318323,0.887
