phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00649259,0.00305158,0.888
insert,1000,0.00583995,0.00338258,0.887
insert,1500,0.00661502,0.00288587,0.887
insert,2000,0.0062037,0.00285012,0.886
insert,2500,0.0059883,0.00315519,0.888
insert,3000,0.00588799,0.00276297,0.888
insert,3500,0.00578103,0.0028267,0.888
insert,4000,0.00564585,0.00286906,0.889
insert,4500,0.00563276,0.0028204,0.889
insert,5000,0.00562458,0.00277227,0.889
