phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,1000,0.000605028,0.00056592,0.881
insert,2000,0.000607436,0.000564276,0.881
insert,3000,0.000611389,0.000565645,0.881
insert,4000,0.000611946,0.000568512,0.881
insert,5000,0.000604838,0.000563138,0.878
insert,6000,0.000592024,0.000572871,0.869
insert,7000,0.000582959,0.000563847,0.857
insert,8000,0.000577621,0.000560927,0.852
insert,9000,0.000574811,0.000560575,0.846
insert,10000,0.000573582,0.000560302,0.846
delete_patch,2000,0.00113869,0.000686191,0.846
delete_patch,4000,0.00109753,0.000674278,0.846
delete_patch,6000,0.00109098,0.000666505,0.824
delete_patch,8000,0.0010424,0.000660242,0.808
delete_patch,10000,0.00102517,0.000657604,0.797
