strategy,backend,idx_s,insert_s,delete_s,total_s,recall_after_insert,recall_after_delete
lazy,GTI_n2,201.969269,33.2040,35.4652,270.6385,0.874,0.872
wolverine,GTI,1086.158813,2.9510,4.0800,1093.1898,0.851,0.846
