dataset,variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
sift,exp5,2,mst,1,64,128,0.05,40.251007,0.001486,0.980000,40.324219,0.002002,0.968
sift,exp5,3,mst,1,64,128,0.05,40.373528,0.001027,0.983000,39.641933,0.001694,0.969
sift,exp6,1,mst,1,128,128,0.05,40.005390,0.001438,0.982000,39.098835,0.001741,0.967
sift,exp6,2,mst,1,128,128,0.05,40.229458,0.001070,0.980000,39.452560,0.002098,0.971
sift,exp6,3,mst,1,128,128,0.05,40.252651,0.001046,0.981000,41.487518,0.001902,0.968
sift,exp7,1,mst,1,32,64,0.01,40.093548,0.001048,0.981000,40.424023,0.001780,0.963
sift,exp7,2,mst,1,32,64,0.01,40.037285,0.001491,0.983000,42.293056,0.001914,0.969
sift,exp7,3,mst,1,32,64,0.01,39.515263,0.001039,0.978000,38.979015,0.001879,0.968
sift,exp8,1,mst,1,32,64,0.10,40.073219,0.001341,0.980000,39.947460,0.001766,0.967
sift,exp8,2,mst,1,32,64,0.10,40.140961,0.001036,0.979000,40.124763,0.001825,0.966
sift,exp8,3,mst,1,32,64,0.10,42.933670,0.001023,0.980000,39.416656,0.001757,0.967
deep,mst_full_orig,1,mst,0,200,300,0.1,75.922470,0.001364,0.958000,75.716232,0.002487,0.953
deep,mst_full_orig,2,mst,0,200,300,0.1,77.921783,0.001950,0.958000,76.200035,0.002580,0.958
deep,mst_full_orig,3,mst,0,200,300,0.1,78.741631,0.001497,0.961000,77.619705,0.002498,0.957
deep,mst_full_1,1,mst,0,200,300,0.2,78.361382,0.001393,0.956000,75.965263,0.002506,0.956
deep,mst_full_1,2,mst,0,200,300,0.2,76.516983,0.001422,0.957000,76.885536,0.002599,0.957
deep,mst_full_1,3,mst,0,200,300,0.2,78.546677,0.001385,0.953000,76.980537,0.002490,0.956
deep,mst_full_2,1,mst,0,200,300,0.05,77.707771,0.001466,0.960000,78.208298,0.002812,0.959
deep,mst_full_2,2,mst,0,200,300,0.05,76.481522,0.001398,0.965000,77.206726,0.002589,0.955
deep,mst_full_2,3,mst,0,200,300,0.05,77.041748,0.001975,0.962000,77.677177,0.002467,0.951
deep,mst_full_3,1,mst,0,300,300,0.1,78.008026,0.001365,0.960000,78.095909,0.002541,0.955
deep,mst_full_3,2,mst,0,300,300,0.1,77.303993,0.001437,0.955000,78.861954,0.002499,0.959
deep,mst_full_3,3,mst,0,300,300,0.1,77.457634,0.001362,0.954000,76.628944,0.002613,0.956
deep,mst_full_4,1,mst,0,200,200,0.1,78.250587,0.001483,0.958000,75.865578,0.002468,0.953
deep,mst_full_4,2,mst,0,200,200,0.1,77.554893,0.001463,0.957000,77.844185,0.002733,0.955
deep,mst_full_4,3,mst,0,200,200,0.1,78.235046,0.001500,0.963000,78.710136,0.002569,0.947
deep,mst_sample_deep_1,1,mst,1,64,96,0.05,78.817795,0.001436,0.955000,76.007896,0.002568,0.952
deep,mst_sample_deep_1,2,mst,1,64,96,0.05,77.645737,0.001395,0.963000,77.713470,0.002450,0.955
deep,mst_sample_deep_1,3,mst,1,64,96,0.05,77.867378,0.001473,0.958000,77.775940,0.002453,0.952
deep,mst_sample_deep_2,1,mst,1,64,64,0.1,77.126251,0.001452,0.958000,76.465233,0.002491,0.956
deep,mst_sample_deep_2,2,mst,1,64,64,0.1,78.405762,0.001476,0.954000,76.486961,0.002614,0.954
deep,mst_sample_deep_2,3,mst,1,64,64,0.1,78.094322,0.001435,0.960000,77.601913,0.002486,0.953
gist,mst_full_orig,1,mst,0,200,300,0.1,243.133240,0.003136,0.886000,,,0.88
gist,mst_full_orig,2,mst,0,200,300,0.1,239.740540,0.003771,0.884000,241.159958,0.005534,0.883
