phase,updated,avg_update_s_per_item,avg_search_s_per_query,recall
insert,500,0.00268137,0.00144608,0.956
insert,1000,0.00260471,0.0013868,0.956
insert,1500,0.00255823,0.00136834,0.956
insert,2000,0.0025352,0.00135863,0.956
insert,2500,0.00252945,0.0015994,0.955
insert,3000,0.00255568,0.00193273,0.955
insert,3500,0.00257016,0.00137043,0.956
insert,4000,0.0025549,0.00137431,0.956
insert,4500,0.00254478,0.00160395,0.956
insert,5000,0.0025542,0.0015663,0.955
